"conjugated_verb","count","perc"
"había",2599,3.64117795399143
"era",2396,3.35677659783126
"es",2303,3.22648435092045
"dijo",1763,2.46994872369638
"estaba",1169,1.6377595337499
"fue",816,1.14320939224971
"ser",606,0.849001092773684
"habían",517,0.724312813471938
"hay",512,0.717307853960604
"tenía",467,0.654263218358598
"ha",447,0.626243380313262
"eran",431,0.603827509876993
"podía",412,0.577208663733924
"iba",384,0.537980890470453
"hacer",382,0.535178906665919
"hubiera",369,0.516966011936451
"son",364,0.509961052425117
"ver",337,0.472134271063913
"estaban",332,0.465129311552579
"está",322,0.451119392529911
"sido",310,0.43430748970271
"hizo",306,0.428703522093642
"va",303,0.424500546386842
"dio",300,0.420297570680041
"vio",283,0.396480708341506
"tiene",274,0.383871781221105
"decir",272,0.381069797416571
"puede",269,0.37686682170977
"parecía",221,0.309619210400964
"estar",220,0.308218218498697
"sé",209,0.292807307573762
"parece",201,0.281599372355628
"hacía",200,0.280198380453361
"puso",198,0.277396396648827
"hace",192,0.268990445235227
"daba",190,0.266188461430693
"tuvo",189,0.264787469528426
"ir",188,0.263386477626159
"pensar",183,0.256381518114825
"haber",182,0.254980526212558
"he",181,0.253579534310292
"fuera",175,0.245173582896691
"hablar",172,0.24097060718989
"pasar",171,0.239569615287624
"sabía",169,0.23676763148309
"visto",167,0.233965647678556
"llegar",167,0.233965647678556
"saber",163,0.228361680069489
"han",163,0.228361680069489
"pudo",154,0.215752752949088
"tener",151,0.211549777242288
"llevaba",150,0.210148785340021
"dormir",150,0.210148785340021
"hecho",148,0.207346801535487
"fueron",147,0.20594580963322
"preguntó",146,0.204544817730954
"mirando",145,0.203143825828687
"salir",144,0.20174283392642
"sintió",140,0.196138866317353
"dar",138,0.193336882512819
"volvió",137,0.191935890610552
"decía",133,0.186331923001485
"da",129,0.180727955392418
"tengo",128,0.179326963490151
"sea",127,0.177925971587884
"habría",126,0.176524979685617
"dice",125,0.175123987783351
"voy",123,0.172322003978817
"dejó",122,0.17092101207655
"soy",119,0.16671803636975
"sabe",118,0.165317044467483
"creo",116,0.162515060662949
"pareció",115,0.161114068760683
"sería",113,0.158312084956149
"entrar",112,0.156911093053882
"podría",109,0.152708117347082
"debía",108,0.151307125444815
"estoy",108,0.151307125444815
"pensaba",107,0.149906133542548
"pensando",106,0.148505141640281
"miraba",106,0.148505141640281
"pasó",105,0.147104149738015
"seguir",105,0.147104149738015
"puedo",105,0.147104149738015
"llegó",104,0.145703157835748
"pasaba",103,0.144302165933481
"comer",101,0.141500182128947
"llevó",100,0.14009919022668
"quedaba",100,0.14009919022668
"encontró",95,0.133094230715346
"volver",93,0.130292246910813
"tenido",92,0.128891255008546
"dado",92,0.128891255008546
"empezó",91,0.127490263106279
"vivir",90,0.126089271204012
"tomar",90,0.126089271204012
"estado",90,0.126089271204012
"quiere",88,0.123287287399479
"dicho",88,0.123287287399479
"mirar",88,0.123287287399479
"vi",88,0.123287287399479
"haciendo",87,0.121886295497212
"iban",86,0.120485303594945
"vas",85,0.119084311692678
"andaba",83,0.116282327888145
"buscando",83,0.116282327888145
"podían",83,0.116282327888145
"abrió",83,0.116282327888145
"tenían",83,0.116282327888145
"quiero",83,0.116282327888145
"pasado",83,0.116282327888145
"estuviera",82,0.114881335985878
"buscar",82,0.114881335985878
"vamos",81,0.113480344083611
"seguía",79,0.110678360279078
"pensó",78,0.109277368376811
"quedó",76,0.106475384572277
"estamos",76,0.106475384572277
"empezaba",76,0.106475384572277
"estuvo",75,0.10507439267001
"hablaba",75,0.10507439267001
"veía",74,0.103673400767744
"supo",74,0.103673400767744
"entender",74,0.103673400767744
"esperaba",74,0.103673400767744
"podido",73,0.102272408865477
"debe",73,0.102272408865477
"esperando",73,0.102272408865477
"hubo",73,0.102272408865477
"oyó",72,0.10087141696321
"llevar",71,0.0994704250609432
"tratando",70,0.0980694331586763
"tienen",70,0.0980694331586763
"caer",70,0.0980694331586763
"dejar",70,0.0980694331586763
"dije",70,0.0980694331586763
"pueden",70,0.0980694331586763
"siguió",69,0.0966684412564095
"dejaba",68,0.0952674493541427
"ido",68,0.0952674493541427
"contar",67,0.0938664574518759
"creer",67,0.0938664574518759
"hablando",66,0.0924654655496091
"poner",65,0.0910644736473423
"parecían",65,0.0910644736473423
"encontraba",65,0.0910644736473423
"van",65,0.0910644736473423
"morir",65,0.0910644736473423
"vieron",64,0.0896634817450755
"hubieran",64,0.0896634817450755
"ve",64,0.0896634817450755
"llorar",64,0.0896634817450755
"esperar",63,0.0882624898428087
"sacó",63,0.0882624898428087
"hicieron",62,0.0868614979405419
"pudiera",62,0.0868614979405419
"llegado",62,0.0868614979405419
"leer",62,0.0868614979405419
"pasa",62,0.0868614979405419
"encontrar",61,0.0854605060382751
"escribir",61,0.0854605060382751
"salió",61,0.0854605060382751
"comprendió",61,0.0854605060382751
"dejado",60,0.0840595141360083
"será",60,0.0840595141360083
"hacían",60,0.0840595141360083
"gustaba",60,0.0840595141360083
"sentir",60,0.0840595141360083
