"infinitive","count","perc"
"ser",8066,11.300400683684
"haber",5461,7.65081677827902
"estar",2746,3.84712376362465
"decir",2734,3.83031186079744
"tener",1774,2.48535963462131
"hacer",1757,2.46154277228278
"ir",1721,2.41110706380117
"poder",1614,2.26120093025862
"ver",1336,1.87172518142845
"dar",1210,1.69520020174283
"saber",843,1.18103617361092
"pasar",730,1.02272408865477
"parecer",682,0.955476477345961
"pensar",596,0.834991173751016
"llegar",587,0.822382246630615
"poner",586,0.820981254728348
"hablar",579,0.81117431141248
"mirar",569,0.797164392389812
"llevar",568,0.795763400487545
"dejar",544,0.762139594833142
"querer",515,0.721510829667405
"quedar",509,0.713104878253804
"volver",486,0.680882064501667
"seguir",465,0.651461234554064
"salir",433,0.606629493681527
"sentir",418,0.585614615147524
"empezar",413,0.57860965563619
"deber",393,0.550589817590854
"encontrar",387,0.542183866177254
"esperar",332,0.465129311552579
"venir",314,0.439911457311777
"contar",307,0.430104513995909
"tratar",293,0.410490627364174
"buscar",293,0.410490627364174
"creer",292,0.409089635461907
"perder",279,0.390876740732439
"conocer",270,0.378267813612037
"tomar",268,0.375465829807504
"llamar",264,0.369861862198436
"entrar",253,0.354450951273502
"andar",251,0.351648967468968
"preguntar",245,0.343243016055367
"sacar",243,0.340441032250834
"abrir",237,0.332035080837233
"acabar",234,0.327832105130432
"vivir",233,0.326431113228166
"dormir",228,0.319426153716832
"entender",196,0.274594412844294
"comprender",194,0.27179242903976
"crear",193,0.270391437137493
"ocurrir",192,0.268990445235227
"comer",192,0.268990445235227
"caer",189,0.264787469528426
"oir",185,0.259183501919359
"recordar",175,0.245173582896691
"subir",174,0.243772590994424
"morir",171,0.239569615287624
"llorar",165,0.231163663874023
"alcanzar",165,0.231163663874023
"leer",157,0.219955728655888
"terminar",156,0.218554736753622
"gustar",154,0.215752752949088
"conseguir",153,0.214351761046821
"levantar",145,0.203143825828687
"tocar",144,0.20174283392642
"explicar",143,0.200341842024153
"escuchar",143,0.200341842024153
"escribir",138,0.193336882512819
"permitir",134,0.187732914903752
"echar",132,0.184930931099218
"pedir",128,0.179326963490151
"recibir",124,0.173722995881084
"cambiar",123,0.172322003978817
"repetir",123,0.172322003978817
"aparecer",122,0.17092101207655
"matar",120,0.168119028272017
"meter",120,0.168119028272017
"servir",118,0.165317044467483
"tirar",118,0.165317044467483
"despertar",116,0.162515060662949
"imaginar",116,0.162515060662949
"sé",116,0.162515060662949
"gritar",114,0.159713076858416
"bajar",114,0.159713076858416
"decidir",110,0.154109109249349
"descubrir",110,0.154109109249349
"lograr",107,0.149906133542548
"faltar",105,0.147104149738015
"olvidar",104,0.145703157835748
"jugar",103,0.144302165933481
"bastar",101,0.141500182128947
"ganar",98,0.137297206422147
"regresar",97,0.13589621451988
"cerrar",97,0.13589621451988
"contestar",95,0.133094230715346
"traer",95,0.133094230715346
"importar",91,0.127490263106279
"quitar",91,0.127490263106279
"correr",87,0.121886295497212
"abandonar",86,0.120485303594945
"mover",86,0.120485303594945
"suponer",84,0.117683319790412
"mostrar",83,0.116282327888145
"guardar",80,0.112079352181344
"cumplir",80,0.112079352181344
"necesitar",80,0.112079352181344
"reconocer",79,0.110678360279078
"existir",77,0.107876376474544
"usar",76,0.106475384572277
"cantar",76,0.106475384572277
"aceptar",75,0.10507439267001
"sospechar",75,0.10507439267001
"beber",74,0.103673400767744
"resultar",73,0.102272408865477
"mantener",73,0.102272408865477
"llenar",73,0.102272408865477
"trabajar",72,0.10087141696321
"colgar",71,0.0994704250609432
"nacer",71,0.0994704250609432
"cruzar",71,0.0994704250609432
"caminar",70,0.0980694331586763
"sonar",70,0.0980694331586763
"desear",70,0.0980694331586763
"acercar",69,0.0966684412564095
"acordar",68,0.0952674493541427
"mandar",68,0.0952674493541427
"oír",67,0.0938664574518759
"escapar",67,0.0938664574518759
"considerar",66,0.0924654655496091
