"mood","tense","count","perc"
"gerund","gerund",2027,2.83981058589481
"imperative","imperative",607,0.850402084675951
"indicative","present",18397,25.7740480260024
"indicative","imperfect",14939,20.9294180279638
"indicative","preterite",12323,17.2644232116338
"indicative","future",694,0.972288380173163
"indicative","conditional",215,0.301213258987363
"infinitive","infinitive",13943,19.5340300933061
"participle","participle",2665,3.73364341954104
"subjunctive","present",3042,4.26181736669562
"subjunctive","imperfect",2525,3.53750455322368
"subjunctive","future",1,0.0014009919022668
