conjugated_verb	infinitive	tense	mood
había	haber	imperfect	indicative
recordar	recordar	infinitive	infinitive
llevó	llevar	preterite	indicative
conocer	conocer	infinitive	infinitive
era	ser	imperfect	indicative
precipitaban	precipitar	imperfect	indicative
era	ser	imperfect	indicative
carecían	carecer	imperfect	indicative
había	haber	imperfect	indicative
plantaba	plantar	imperfect	indicative
daban	dar	imperfect	indicative
conocer	conocer	infinitive	infinitive
llevaron	llevar	preterite	indicative
montaraz	montaraz	infinitive	infinitive
presentó	presentar	preterite	indicative
hizo	hacer	preterite	indicative
llamaba	llamar	imperfect	indicative
fue	ser	preterite	indicative
arrastrando	arrastrar	gerund	gerund
ver	ver	infinitive	infinitive
caían	caer	imperfect	indicative
crujían	crujir	imperfect	indicative
tratando	tratar	gerund	gerund
hacía	hacer	imperfect	indicative
aparecían	aparecer	imperfect	indicative
había	haber	imperfect	indicative
arrastraban	arrastrar	imperfect	indicative
tienen	tener	present	indicative
pregonaba	pregonar	imperfect	indicative
es	ser	present	indicative
iba	ir	imperfect	indicative
pensó	pensar	preterite	indicative
era	ser	imperfect	indicative
desentrañar	desentrañar	infinitive	infinitive
era	ser	imperfect	indicative
sirve	servir	present	indicative
creía	creer	imperfect	indicative
cambió	cambiar	preterite	indicative
contaba	contar	imperfect	indicative
ensanchar	ensanchar	infinitive	infinitive
consiguió	conseguir	preterite	indicative
ha	haber	present	indicative
empedrar	empedrar	infinitive	infinitive
replicó	replicar	preterite	indicative
empeñó	empeñar	preterite	indicative
demostrar	demostrar	infinitive	infinitive
exploró	explorar	preterite	indicative
arrastrando	arrastrar	gerund	gerund
logró	lograr	preterite	indicative
desenterrar	desenterrar	infinitive	infinitive
fue	ser	preterite	indicative
tenía	tener	imperfect	indicative
lograron	lograr	preterite	indicative
desarticular	desarticular	infinitive	infinitive
encontraron	encontrar	preterite	indicative
llevaba	llevar	imperfect	indicative
volvieron	volver	preterite	indicative
llevaban	llevar	imperfect	indicative
exhibieron	exhibir	preterite	indicative
sentaron	sentar	preterite	indicative
instalaron	instalar	preterite	indicative
asomaba	asomar	imperfect	indicative
veía	ver	imperfect	indicative
ha	haber	present	indicative
pregonaba	pregonar	imperfect	indicative
podrá	poder	future	indicative
ver	ver	infinitive	infinitive
ocurre	ocurrir	present	indicative
moverse	moverse	infinitive	infinitive
hicieron	hacer	preterite	indicative
pusieron	poner	preterite	indicative
prendieron	prender	preterite	indicative
acababa	acabar	imperfect	indicative
concibió	concebir	preterite	indicative
utilizar	utilizar	infinitive	infinitive
trató	tratar	preterite	indicative
terminó	terminar	preterite	indicative
aceptar	aceptar	infinitive	infinitive
lloró	llorar	preterite	indicative
formaba	formar	imperfect	indicative
había	haber	imperfect	indicative
había	haber	imperfect	indicative
trató	tratar	preterite	indicative
tratando	tratar	gerund	gerund
demostrar	demostrar	infinitive	infinitive
expuso	exponer	preterite	indicative
sufrió	sufrir	preterite	indicative
convirtieron	convertir	preterite	indicative
tardaron	tardar	preterite	indicative
sanar	sanar	infinitive	infinitive
estuvo	estar	preterite	indicative
incendiar	incendiar	infinitive	infinitive
pasaba	pasar	imperfect	indicative
haciendo	hacer	gerund	gerund
logró	lograr	preterite	indicative
componer	componer	infinitive	infinitive
atravesó	atravesar	preterite	indicative
remontó	remontar	preterite	indicative
estuvo	estar	preterite	indicative
perecer	perecer	infinitive	infinitive
conseguir	conseguir	infinitive	infinitive
era	ser	imperfect	indicative
prometía	prometer	imperfect	indicative
ordenara	ordenar	imperfect	subjunctive
hacer	hacer	infinitive	infinitive
esperó	esperar	preterite	indicative
esperar	esperar	infinitive	infinitive
dio	dar	preterite	indicative
devolvió	devolver	preterite	indicative
dejó	dejar	preterite	indicative
escribió	escribir	preterite	indicative
dejó	dejar	preterite	indicative
pudiera	poder	imperfect	subjunctive
pasó	pasar	preterite	indicative
construyó	construir	preterite	indicative
perturbara	perturbar	imperfect	subjunctive
habiendo	haber	gerund	gerund
permaneció	permanecer	preterite	indicative
estuvo	estar	preterite	indicative
contraer	contraer	infinitive	infinitive
tratar	tratar	infinitive	infinitive
establecer	establecer	infinitive	infinitive
encontrar	encontrar	infinitive	infinitive
hizo	hacer	preterite	indicative
tuvo	tener	preterite	indicative
permitió	permitir	preterite	indicative
navegar	navegar	infinitive	infinitive
visitar	visitar	infinitive	infinitive
trabar	trabar	infinitive	infinitive
abandonar	abandonar	infinitive	infinitive
fue	ser	preterite	indicative
adquirió	adquirir	preterite	indicative
hablar	hablar	infinitive	infinitive
hacer	hacer	infinitive	infinitive
partían	partir	imperfect	indicative
cuidando	cuidar	gerund	gerund
interrumpió	interrumpir	preterite	indicative
fue	ser	preterite	indicative
estuvo	estar	preterite	indicative
dar	dar	infinitive	infinitive
soltó	soltar	preterite	indicative
habían	haber	imperfect	indicative
recordar	recordar	infinitive	infinitive
sentó	sentar	preterite	indicative
temblando	temblar	gerund	gerund
reveló	revelar	preterite	indicative
es	ser	present	indicative
perdió	perder	preterite	indicative
has	haber	present	indicative
gritó	gritar	preterite	indicative
inculcar	inculcar	infinitive	infinitive
dejó	dejar	preterite	indicative
amedrentar	amedrentar	infinitive	infinitive
construyó	construir	preterite	indicative
reunió	reunir	preterite	indicative
demostró	demostrar	preterite	indicative
resultaban	resultar	imperfect	indicative
regresar	regresar	infinitive	infinitive
estaba	estar	imperfect	indicative
había	haber	imperfect	indicative
perdido	perder	participle	participle
llegó	llegar	preterite	indicative
poner	poner	infinitive	infinitive
exaltó	exaltar	preterite	indicative
había	haber	imperfect	indicative
hizo	hacer	preterite	indicative
había	haber	imperfect	indicative
ejercer	ejercer	infinitive	infinitive
había	haber	imperfect	indicative
parecía	parecer	imperfect	indicative
tener	tener	infinitive	infinitive
conservaba	conservar	imperfect	indicative
permitía	permitir	imperfect	indicative
derribar	derribar	infinitive	infinitive
parecía	parecer	imperfect	indicative
era	ser	imperfect	indicative
contó	contar	preterite	indicative
ayudaba	ayudar	imperfect	indicative
montar	montar	infinitive	infinitive
seguía	seguir	imperfect	indicative
darle	darle	infinitive	infinitive
era	ser	imperfect	indicative
habían	haber	imperfect	indicative
sobrevivió	sobrevivir	preterite	indicative
ser	ser	infinitive	infinitive
decía	decir	imperfect	indicative
era	ser	imperfect	indicative
parecía	parecer	imperfect	indicative
conocer	conocer	infinitive	infinitive
usaba	usar	imperfect	indicative
tenía	tener	imperfect	indicative
mantenía	mantener	imperfect	indicative
sufría	sufrir	imperfect	indicative
había	haber	imperfect	indicative
dejado	dejar	participle	participle
reír	reír	infinitive	infinitive
hacía	hacer	imperfect	indicative
había	haber	imperfect	indicative
reveló	revelar	preterite	indicative
tuvo	tener	preterite	indicative
era	ser	imperfect	indicative
asombraron	asombrar	preterite	indicative
tenía	tener	imperfect	indicative
había	haber	imperfect	indicative
vio	ver	preterite	indicative
chorreaba	chorrear	imperfect	indicative
había	haber	imperfect	indicative
transmitir	transmitir	infinitive	infinitive
conservó	conservar	preterite	indicative
entró	entrar	preterite	indicative
rompió	romper	preterite	indicative
es	ser	present	indicative
dijo	decir	preterite	indicative
está	estar	present	indicative
tiene	tener	present	indicative
es	ser	present	indicative
hizo	hacer	preterite	indicative
hizo	hacer	preterite	indicative
llevó	llevar	preterite	indicative
rezar	rezar	infinitive	infinitive
quedaría	quedar	conditional	indicative
recuerdo	recordar	present	indicative
contar	contar	infinitive	infinitive
estaba	estar	imperfect	indicative
dejó	dejar	preterite	indicative
permitían	permitir	imperfect	indicative
supiera	saber	imperfect	subjunctive
intentar	intentar	infinitive	infinitive
doblar	doblar	infinitive	infinitive
permitiera	permitir	imperfect	subjunctive
desenterrar	desenterrar	infinitive	infinitive
era	ser	imperfect	indicative
subdividir	subdividir	infinitive	infinitive
cedió	ceder	preterite	indicative
ocurría	ocurrir	imperfect	indicative
echó	echar	preterite	indicative
fundió	fundir	preterite	indicative
puso	poner	preterite	indicative
hervir	hervir	infinitive	infinitive
obtener	obtener	infinitive	infinitive
cocer	cocer	infinitive	infinitive
quedó	quedar	preterite	indicative
pudo	poder	preterite	indicative
ser	ser	infinitive	infinitive
volvieron	volver	preterite	indicative
había	haber	imperfect	indicative
pudo	poder	preterite	indicative
recorrieron	recorrer	preterite	indicative
haciendo	hacer	gerund	gerund
anunciaba	anunciar	imperfect	indicative
fue	ser	preterite	indicative
vieron	ver	preterite	indicative
recordaban	recordar	imperfect	indicative
estremecieron	estremecer	preterite	indicative
convirtió	convertir	preterite	indicative
sacó	sacar	preterite	indicative
mostró	mostrar	preterite	indicative
volvió	volver	preterite	indicative
ser	ser	infinitive	infinitive
puso	poner	preterite	indicative
sonrió	sonreir	preterite	indicative
consideró	considerar	preterite	indicative
habían	haber	imperfect	indicative
llegado	llegar	participle	participle
experimentó	experimentar	preterite	indicative
explicó	explicar	preterite	indicative
pareció	parecer	preterite	indicative
perdió	perder	preterite	indicative
sufrió	sufrir	preterite	indicative
volvió	volver	preterite	indicative
comer	comer	infinitive	infinitive
pasaba	pasar	imperfect	indicative
dando	dar	gerund	gerund
están	estar	present	indicative
decía	decir	imperfect	indicative
hay	haber	present	indicative
seguimos	seguir	present	indicative
viviendo	vivir	gerund	gerund
conocían	conocer	imperfect	indicative
asombraban	asombrar	imperfect	indicative
había	haber	imperfect	indicative
cambiado	cambiar	participle	participle
era	ser	imperfect	indicative
daba	dar	imperfect	indicative
colaboraba	colaborar	imperfect	indicative
fue	ser	preterite	indicative
fueron	ir	preterite	indicative
tenía	tener	imperfect	indicative
vivían	vivir	imperfect	indicative
eran	ser	imperfect	indicative
andaba	andar	imperfect	indicative
oyó	oir	preterite	indicative
cantar	cantar	infinitive	infinitive
parecía	parecer	imperfect	indicative
estar	estar	infinitive	infinitive
encalar	encalar	infinitive	infinitive
estaban	estar	imperfect	indicative
guardaba	guardar	imperfect	indicative
exhalaban	exhalar	imperfect	indicative
era	ser	imperfect	indicative
vería	ver	conditional	indicative
había	haber	imperfect	indicative
podía	poder	imperfect	indicative
llegarse	llegarse	infinitive	infinitive
recibía	recibir	imperfect	indicative
fue	ser	preterite	indicative
era	ser	imperfect	indicative
era	ser	imperfect	indicative
había	haber	imperfect	indicative
muerto	morir	participle	participle
construyó	construir	preterite	indicative
llenó	llenar	preterite	indicative
llegó	llegar	preterite	indicative
ser	ser	infinitive	infinitive
tapó	tapar	preterite	indicative
perder	perder	infinitive	infinitive
llegó	llegar	preterite	indicative
sorprendió	sorprender	preterite	indicative
hubieran	haber	imperfect	subjunctive
podido	poder	participle	participle
encontrar	encontrar	infinitive	infinitive
confesaron	confesar	preterite	indicative
habían	haber	imperfect	indicative
desapareció	desaparecer	preterite	indicative
conocer	conocer	infinitive	infinitive
convirtió	convertir	preterite	indicative
vestir	vestir	infinitive	infinitive
lograba	lograr	imperfect	indicative
cuadrar	cuadrar	infinitive	infinitive
faltó	faltar	preterite	indicative
considerara	considerar	imperfect	subjunctive
abandonaron	abandonar	preterite	indicative
echó	echar	preterite	indicative
desmontar	desmontar	infinitive	infinitive
pidió	pedir	preterite	indicative
abrir	abrir	infinitive	infinitive
pusiera	poner	imperfect	subjunctive
ignoraba	ignorar	imperfect	indicative
sabía	saber	imperfect	indicative
estaba	estar	imperfect	indicative
había	haber	imperfect	indicative
contado	contar	participle	participle
